,.net,android,angularjs,asp.net,c,c#,c++,css,html,ios,iphone,java,javascript,jquery,mysql,objective-c,php,python,ruby-on-rails,sql
.net,335,3,0,36,2,80,4,1,9,5,1,8,1,1,2,3,0,3,0,6
android,0,471,0,2,0,4,0,0,4,7,4,5,0,0,0,0,1,1,0,1
angularjs,0,0,483,2,0,1,0,5,1,0,0,0,3,3,0,0,2,0,0,0
asp.net,19,1,0,408,1,21,0,1,15,0,4,2,13,6,1,0,0,4,1,3
c,2,0,0,0,454,16,15,0,1,1,0,0,2,0,0,3,1,5,0,0
c#,34,2,0,14,4,392,11,0,10,0,1,9,5,0,0,2,3,8,2,3
c++,4,0,0,0,57,28,389,0,0,1,0,11,2,0,2,3,0,2,0,1
css,1,1,0,2,0,0,1,449,30,0,0,1,2,10,1,0,2,0,0,0
html,0,0,1,6,0,1,1,60,376,0,0,1,21,19,1,0,10,1,0,2
ios,1,4,0,0,4,2,1,5,2,342,73,0,3,0,0,60,0,1,2,0
iphone,1,1,1,2,0,2,1,1,3,87,348,0,2,0,1,45,5,0,0,0
java,6,6,0,1,3,10,6,1,5,2,0,443,1,0,0,5,4,3,1,3
javascript,1,2,3,3,0,6,0,4,9,1,2,4,424,29,0,2,4,4,1,1
jquery,0,0,1,2,0,0,0,9,9,0,0,0,20,457,0,0,2,0,0,0
mysql,0,1,0,0,0,0,0,0,2,0,0,0,1,0,419,0,6,0,0,71
objective-c,3,1,0,0,3,3,1,1,4,58,46,2,1,1,1,368,2,3,0,2
php,4,0,0,2,1,3,1,1,12,0,3,1,7,3,9,1,448,1,0,3
python,0,0,0,0,2,4,2,0,3,0,1,1,1,0,0,1,2,482,1,0
ruby-on-rails,0,0,2,2,0,1,2,2,1,1,1,0,1,3,2,0,2,1,475,4
sql,2,0,0,4,0,3,0,0,2,0,0,3,0,0,39,0,0,0,1,446
